VariableName,VarUnits,SampleMedium,DataType,ValueType,TimeSupport,TimeUnits,Speciation,SiteName,SiteCode,Latitude,Longitude,GeneralCategory,NoDataValue
Precipitation,millimeter,Precipitation,Incremental,Field Observation,1,day,Not Applicable,"IOWA CITY MUNI AP             ",GHCN:USW00014937,41.6328,-91.5431,Climate,-9999
UTCTimeStamp,LocalTimestamp,UTCOffset,Value,MethodDescription,QualityControlLevel,ValueAccuracy,CensorCode,OffsetValue,OffsetDescription,OffsetUnit,Qualifier,QualifierDescription,SourceDescription,SourceLink,Citation
1948-03-16 00:00:00,1948-03-16 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-17 00:00:00,1948-03-17 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-03-18 00:00:00,1948-03-18 00:00:00,0,3.8,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-19 00:00:00,1948-03-19 00:00:00,0,26.2,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-20 00:00:00,1948-03-20 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-21 00:00:00,1948-03-21 00:00:00,0,8.6,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-22 00:00:00,1948-03-22 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-23 00:00:00,1948-03-23 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-24 00:00:00,1948-03-24 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-25 00:00:00,1948-03-25 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-26 00:00:00,1948-03-26 00:00:00,0,2.8,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-27 00:00:00,1948-03-27 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-03-28 00:00:00,1948-03-28 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-29 00:00:00,1948-03-29 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-30 00:00:00,1948-03-30 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-31 00:00:00,1948-03-31 00:00:00,0,1.5,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-04-01 00:00:00,1948-04-01 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-02 00:00:00,1948-04-02 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-03 00:00:00,1948-04-03 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-04 00:00:00,1948-04-04 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_01,unknown,unknown,unknown,unknown
1948-04-05 00:00:00,1948-04-05 00:00:00,0,7.6,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-06 00:00:00,1948-04-06 00:00:00,0,2.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-07 00:00:00,1948-04-07 00:00:00,0,3.8,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-08 00:00:00,1948-04-08 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-09 00:00:00,1948-04-09 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-10 00:00:00,1948-04-10 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-11 00:00:00,1948-04-11 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-12 00:00:00,1948-04-12 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-13 00:00:00,1948-04-13 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-14 00:00:00,1948-04-14 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
